,LOAN_AMOUNT,LOAN_BEHAVIOR,LOAN_START_DATE
0,1000001.67,Amortization Past Due,2010-11-26
1,699300.74,Items for litigation,2013-09-19
2,1463999.8,Current,2013-10-03
3,3779999.85,Current,2014-10-13
4,1080000.92,Current,2014-12-19
5,1150001.16,Amortization Past Due,2015-09-03
6,2291997.38,Current,2015-09-04
7,557598.67,Items for litigation,2015-09-15
8,3424000.46,Current,2015-09-18
9,1380000.1,Amortization Past Due,2015-12-28
10,3312001.05,Current,2016-03-11
11,1155001.62,Principal Past Due,2016-04-04
12,604898.5,Current,2016-05-16
13,4233099.72,Current,2016-05-16
14,438401.19,Items for litigation,2016-08-04
15,2630000.86,Current,2016-08-24
16,1173899.58,Current,2016-08-30
17,413999.75,Items for litigation,2016-12-16
18,2485080.94,Current,2017-07-28
19,7014919.23,Current,2017-07-28
20,1696000.21,Amortization Past Due,2017-11-24
21,5849001.41,Amortization Past Due,2017-11-29
22,1663798.51,Current,2017-12-21
23,14999998.52,Current,2014-06-30
24,2900000.99,Current,2018-02-23
25,719599.12,Current,2018-03-21
26,1073999.63,Current,2015-12-22
27,1408498.47,Current,2016-04-01
28,1079999.65,Current,2016-06-28
29,1437500.64,Current,2016-09-01
30,1066400.69,Current,2018-08-08
31,1568800.76,Current,2018-09-14
32,3368218.57,Current,2018-10-08
33,922999.57,Current,2018-10-31
34,1849999.31,Current,2018-11-09
35,1107549.87,Current,2018-11-14
36,828101.14,Current,2018-11-19
37,1204000.33,Current,2018-11-27
38,1440815.86,Current,2018-12-10
39,2903390.18,Current,2019-01-11
40,580000.97,Current,2019-01-18
41,1317600.01,Current,2019-01-30
42,1472200.59,Current,2019-02-19
43,835999.61,Amortization Past Due,2019-02-28
44,4000000.04,Current,2019-03-19
45,1263999.67,Current,2019-03-29
46,1149600.81,Current,2019-04-26
47,1389600.05,Current,2019-06-17
48,4351758.68,Current,2019-06-28
49,2719998.92,Current,2019-07-26
50,1562204.62,Current,2019-07-30
51,1758578.15,Current,2019-08-16
52,553501.81,Amortization Past Due,2019-09-04
53,450000.55,Current,2019-09-12
54,3499999.46,Current,2019-10-23
55,1638000.93,Current,2019-10-29
56,735201.2,Current,2019-10-30
57,1051900.02,Current,2019-11-21
58,936601.02,Current,2019-11-22
59,1242698.82,Current,2019-11-28
60,1860001.76,Current,2019-12-12
61,1999999.23,Current,2019-12-13
62,732800.26,Current,2019-12-27
63,875998.51,Amortization Past Due,2019-12-27
64,1191683.46,Current,2020-01-15
65,1300000.68,Principal Past Due,2020-01-15
66,672797.61,Current,2020-01-16
67,904999.99,Current,2020-01-28
68,2174999.45,Current,2020-01-31
69,1348800.47,Current,2020-02-06
70,453598.47,Current,2020-02-06
71,830401.92,Current,2020-02-10
72,847199.85,Current,2020-03-09
73,2899999.7,Current,2020-03-11
74,789999.09,Current,2020-03-12
75,453601.01,Current,2020-08-11
76,2880001.6,Current,2020-09-23
77,957250.71,Current,2020-09-29
78,2974115.49,Current,2020-10-28
79,2232904.93,Current,2020-11-16
80,894400.5,Current,2020-12-07
81,768999.2,Current,2020-12-11
82,1368600.25,Current,2020-12-14
83,760241.0,Current,2020-12-16
84,836499.1,Current,2020-12-21
85,885500.54,Current,2021-01-07
86,884001.08,Current,2021-01-12
87,1023200.09,Current,2021-02-08
88,511999.36,Current,2021-02-18
89,512000.59,Current,2021-02-18
90,950399.54,Current,2021-03-04
91,628002.4,Current,2021-03-04
92,538399.0,Current,2021-03-10
93,450100.33,Current,2021-03-17
94,1006401.4,Current,2021-03-19
95,479919.55,Current,2021-03-23
96,690398.77,Amortization Past Due,2021-03-26
97,1039998.9,Current,2021-03-31
98,916999.15,Current,2021-05-10
99,919999.45,Current,2021-05-19
100,720800.09,Current,2021-05-26
101,507000.1,Amortization Past Due,2021-05-28
102,1004000.69,Current,2021-06-23
103,1139120.47,Current,2021-06-25
104,858398.39,Amortization Past Due,2021-06-29
105,1327201.13,Principal Past Due,2021-06-30
106,1231299.3,Current,2021-07-14
107,630698.37,Amortization Past Due,2021-07-30
108,565600.4,Current,2021-08-10
109,799999.86,Current,2021-08-18
110,2932799.38,Amortization Past Due,2021-08-23
111,986999.5,Current,2021-08-26
112,805000.92,Current,2021-08-31
113,979999.98,Current,2021-09-16
114,1054999.83,Current,2021-09-24
115,566400.22,Current,2021-09-27
116,1006398.69,Current,2021-09-28
117,5100000.08,Current,2021-09-30
118,1041999.75,Current,2021-09-30
119,668000.81,Current,2021-10-18
120,586400.11,Current,2021-10-19
121,1022401.89,Current,2021-10-27
122,3700000.59,Current,2021-10-27
123,734222.18,Current,2021-11-15
124,1753261.37,Current,2021-11-23
125,1047998.89,Current,2021-12-10
126,8923999.05,Current,2021-12-22
127,385001.78,Current,2022-01-25
128,1184000.55,Current,2022-02-28
129,1123999.64,Current,2022-03-02
130,558401.28,Current,2022-03-09
131,786447.95,Current,2022-03-18
132,720799.12,Amortization Past Due,2022-03-24
133,2186879.8,Current,2022-03-28
134,305997.39,Current,2022-04-06
135,725001.63,Current,2022-04-26
136,583201.47,Current,2022-04-29
137,3156049.49,Current,2022-05-27
138,3615000.04,Current,2022-06-10
139,2415999.81,Current,2022-06-27
140,771401.3,Current,2022-07-28
141,1280000.89,Current,2022-07-29
142,950000.05,Current,2022-08-03
143,1600002.46,Current,2022-08-04
144,846399.06,Current,2022-08-10
145,579199.61,Amortization Past Due,2022-08-19
146,1799186.52,Current,2022-08-24
147,4159200.37,Current,2022-08-31
148,4906789.69,Current,2022-08-31
149,1235199.95,Current,2022-09-22
150,2021491.09,Current,2022-09-30
151,936000.96,Current,2022-10-25
152,1989749.96,Current,2022-10-26
153,1500000.26,Current,2022-11-29
154,1255201.11,Current,2022-12-07
155,7359395.4,Current,2022-12-29
156,648201.6,Current,2023-01-16
157,490400.44,Principal Past Due,2023-01-18
158,936600.65,Current,2023-01-25
159,1110398.55,Current,2023-01-27
160,1151998.58,Current,2023-02-06
161,1664979.73,Current,2023-02-20
162,1868979.43,Current,2023-02-21
163,1963199.63,Current,2023-03-09
164,2484999.12,Current,2023-03-14
165,1151200.18,Current,2023-03-22
166,1155197.49,Current,2023-03-24
167,1460002.7,Current,2023-03-28
168,657601.64,Current,2023-04-20
169,499999.94,Current,2023-04-20
170,1128799.77,Current,2023-04-24
171,1000000.57,Current,2023-04-27
172,768000.43,Current,2023-04-27
173,6016344.33,Current,2023-04-27
174,1214849.91,Current,2023-05-05
175,780800.64,Current,2023-05-12
176,768000.24,Current,2023-05-25
177,780799.62,Current,2023-05-30
178,998399.42,Current,2023-05-31
179,1042401.08,Current,2023-06-20
180,839200.07,Current,2023-06-21
181,1110399.93,Current,2023-06-29
182,3878399.21,Current,2023-06-30
183,1606399.53,Current,2023-07-05
184,1213799.82,Current,2023-07-06
185,2526399.76,Current,2023-07-07
186,760000.34,Current,2023-07-17
187,780800.16,Current,2023-07-18
